url,label
startbuyingstocks.com/,0
qqcvk.com/,0
432parkavenue.com/,0
gamefoliant.ru/,0
orka.cn/,0
media2.mercola.com/,0
ping.chartbeat.net/ping?h=sltrib.com&p=%2f&u=bptcz0cni0h5c4apgp&d=sltrib.com&g=53628&g0=home&n=0&f=ff2c7&c=0&x=2200&m=2200&y=10216&o=1663&w=949&j=45&r=1&w=0&i=0&e=0&e=0&v=http%3a%2f%2fwww.sltrib.com%2f&b=10559&t=siiagcbmk20duoitwowktbytozq&v=78&z=t%3dbextoivr850ddufzcdd3fcxcecwlj%26e%3d0%26ee%3d0%26x%3d2200%26c%3d4.01%26y%3d10216%26w%3d949&i=utah%20local%20news%20-%20salt%20lake%20city%20news%2c%20sports%2c%20entertainment%2c%20business%20-%20the%20salt%20lake%20tribune&tz=360&sn=1&ee=0&_,0
stephensteels.com/,0
kbd-eko.pl/,0
ceskaposta.cz/,0
accessmgt.com/,0
khumbah.com/,0
www.ntti3.com/test/ibyhvpewne/,0
www.rolstoel-op-maat.nl/,0
signal2.fractime.info/,0
uhma-bike.pl/,0
34c.info/,0
shipmatescollaroy.com/,0
l.ooyala.com/verify?ts=1462457649773,0
go.ads2rtb.com/?r=/mb/han&zoneid=473887&pbk2=169bac51c5b717890031d6001e3fe8796281155149864535045&var=&sz=&adparams=bm9qcz0w&x=400&y=300&timeout=0,0
adstrx.com/?a=7118&c=66298&s1=1401a9fe-3579-4309-a443-e166d1af203b&s2=w6g9isq7o907h7js0qq3rn6c,0
pcdnetwork.org/,0
cabrable.com/,0
www.ntti3.com/test/ijjurfwyns/,0
idsync.rlcdn.com/420486.gif?partner_uid=8eb307db-5528-4b18-852e-788bda3e2af5,0
data-max.co.jp/,0
www.ntti3.com/test/gkxxhvuogi/,0
www.ntti3.com/test/geolmprugr/,0
mocar.me/,0
teen-pix.ru/,0
kasen-ep.com/,0
poezenrijk.nl/,0
www.ntti3.com/test/gxrgveppdb/,0
